artifact_name,artifact_link,artifact_studies,artifact_maturity,artifact_type,artificat_evidence_level,artifact_input,artifact_level_automation,artifact_vendor,artifact_n_studies,artifact_license
JDEODORANT,"https://github.com/tsantalis/JDeodorant
https://users.encs.concordia.ca/~nikolaos/jdeodorant/","['1', '423', '351']","{'Proof-of-concept': ['1', '423', '351']}","{'Plugin': ['1', '423'], 'Tool': ['351']}","{'Academic Studies': ['1', '423', '351']}","{'Source Code': ['1', '423', '351']}","{'It automates a task': ['1', '423', '351']}",[],3,"{'Open Source': ['1'], 'Free': ['423', '351']}"
JDEPENDS,https://github.com/clarkware/jdepend,['2'],{'Proof-of-concept': ['2']},"{'Approach (e.g., integration of different tools)': ['2']}",{'Academic Studies': ['2']},{'Source Code': ['2']},"{'It automates a task (e.g., static code analysis)': ['2']}",[],1,{'Open Source': ['2']}
jieshanshan/ist-si-sftd,https://github.com/jieshanshan/ist-si-sftd,['437'],{'Proof-of-concept': ['437']},{'Script': ['437']},{'Academic Studies': ['437']},{'Source Code': ['437']},{'It automates a task': ['437']},['437'],1,{'Open Source': ['437']}
jieshanshan/SEAA2020,https://github.com/jieshanshan/SEAA2020,['316'],{'Proof-of-concept': ['316']},{'Script': ['316']},{'Academic Studies': ['316']},{'Source Code': ['316']},{'It automates a task': ['316']},['316'],1,{'Open Source': ['316']}
jieshanshan/TD-Apache-Python,https://github.com/jieshanshan/TD-Apache-Python,['395'],{'Proof-of-concept': ['395']},{'Script': ['395']},{'Academic Studies': ['395']},{'Source Code\r\nIssues\r\nCommits': ['395']},{'It automates a task': ['395']},['395'],1,{'Open Source': ['395']}
jieshanshan/TechDebt2020,https://github.com/jieshanshan/TechDebt2020,['293'],{'Proof-of-concept': ['293']},{'Script': ['293']},{'Academic Studies': ['293']},{'Source Code': ['293']},{'It automates a task': ['293']},['293'],1,{'Open Source': ['293']}
JIRA,https://www.atlassian.com/software/jira,['57'],{'Demonstration and test in real environment': ['57']},{'Tool': ['57']},{'Industrial Studies': ['57']},{'Source Code': ['57']},{'It automates a process': ['57']},[],1,{'Free': ['57']}
JITTERBUG,https://github.com/ai-se/Jitterbug,['442'],{'Proof-of-concept': ['442']},{'Framework': ['442']},{'Academic Studies': ['442']},{'Code Comments': ['442']},{'It automates a task': ['442']},['442'],1,{'Open Source': ['442']}
JMETER,https://jmeter.apache.org/,['264'],{'Runnig Examples': ['264']},{'Tool': ['264']},{'Examples': ['264']},{'Source Code\r\nGUI': ['264']},{'It automates a task': ['264']},[],1,{'Free': ['264']}
JSPIRIT,https://sites.google.com/site/santiagoavidal/projects/jspirit,"['71', '66', '351', '329']","{'Proof-of-concept': ['71', '351', '329'], 'Runnig Examples': ['66']}","{'Plugin': ['71', '66'], 'Tool': ['351', '329']}","{'Examples': ['71', '66'], 'Academic Studies': ['351', '329']}","{'Source Code': ['71', '66', '351'], 'Souce Code\r\nMDD Models': ['329']}","{'It automates a task (e.g., static code analysis)': ['71'], 'It automates a process (e.g., calculate the TD interest)': ['66'], 'It automates a task': ['351', '329']}",['66'],4,"{'Open Source': ['71', '329'], 'Free': ['66', '351']}"
KALEIDOSCOPE,http://kaleidoscopetool.org/,['125'],{'Proof-of-concept': ['125']},{'Tool': ['125']},{'Examples': ['125']},{'Source Code': ['125']},"{'It automates a task (e.g., static code analysis)': ['125']}",['125'],1,{'Free': ['125']}
KERAS,https://keras.io,"['300', '383', '407']","{'Runnig Examples': ['300'], 'Proof-of-concept': ['383', '407']}","{'Tool': ['300'], 'Approach (e.g., integration of different tools)': ['383', '407']}","{'Examples': ['300'], 'Academic Studies': ['383', '407']}","{'Code Comments': ['300'], 'An existing dataset with TD Values.': ['383'], 'Source Code': ['407']}","{'It automates a task (e.g., static code analysis)': ['300'], 'It automates a task': ['383', '407']}",['407'],3,"{'Free': ['300'], 'Open Source': ['383', '407']}"
KIUWAN,https://www.kiuwan.com/,"['334', '327']","{None: ['334'], 'Proof-of-concept': ['327']}","{None: ['334'], 'Tool': ['327']}","{None: ['334'], 'Academic Studies': ['327']}","{None: ['334'], 'Source Code': ['327']}","{None: ['334'], 'It automates a process': ['327']}",[],2,"{None: ['334'], 'Free': ['327']}"
KLOCWORK,http://www.klocwork.com,['Zengyang-S83'],{'Demonstration in real environment': ['Zengyang-S83']},{'Tool': ['Zengyang-S83']},{'Industrial Studies': ['Zengyang-S83']},{'Source Code': ['Zengyang-S83']},{'It automates a process': ['Zengyang-S83']},[],1,{'Free': ['Zengyang-S83']}
LATTIX,https://www.lattix.com/,"['297', '184', '303', '369']","{'Proof-of-concept': ['297', '184'], 'Demonstration in real environment': ['303', '369']}","{'Approach (e.g., integration of different tools)': ['297'], 'Tool': ['184', '303', '369']}","{'Academic Studies': ['297', '184'], 'Industrial Applications': ['303'], 'Industrial Studies': ['369']}","{'Source Code': ['297', '184', '303', '369']}","{'It automates a process': ['297', '369'], 'It automates a task': ['184', '303']}",['297'],4,"{'Open Source': ['297'], 'Free': ['184', '369'], 'Commercial with free trial': ['303']}"
LONG SHORT-TERM MEMORY,Not Accessible,['301'],{'Proof-of-concept': ['301']},"{'Approach (e.g., integration of different tools)': ['301']}",{'Academic Studies': ['301']},{'Code Comments': ['301']},{'It automates a task': ['301']},[],1,{'Open Source': ['301']}
LOUVAIN-IGRAPH,https://github.com/vtraag/louvain-igraph,['29'],{'Proof-of-concept': ['29']},{'Package': ['29']},{'Examples': ['29']},{'Source Code': ['29']},"{'It automates a task (e.g., static code analysis)': ['29']}",[],1,{'Open Source': ['29']}
M3SOulu/KLSATD_SEAA_2020,https://github.com/M3SOulu/KLSATD_SEAA_2020,['315'],{'Proof-of-concept': ['315']},{'Library': ['315']},{'Examples': ['315']},{'Code Comments': ['315']},"{'It automates a task (e.g., static code analysis)': ['315']}",['315'],1,{'Open Source': ['315']}
MACHINE LEARNING MODEL,Not Accessible,['287'],{'Proof-of-concept': ['287']},{'Tool': ['287']},{'Academic Studies': ['287']},{'Source Code\r\nCode Comments': ['287']},{'It automates a task': ['287']},['287'],1,{'Open Source': ['287']}
MACHINE LEARNING PACKAGES R,"https://cran.r-project.org/package=klaR
https://cran.r-project.org/package=C50
https://cran.r-project.org/package=randomForest
https://cran.r-project.org/package=kernlab
https://cran.r-project.org/package=caret",['250'],{'Proof-of-concept': ['250']},{'Tool': ['250']},{'Expert Opinion': ['250']},{'Source Code': ['250']},{'It automates a task': ['250']},[],1,{'Free': ['250']}
MANTICORE,https://github.com/trailofbits/manticore,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
MANTIS,http://www.mantisbt.org.,['Zengyang-S31'],{'Runnig Examples': ['Zengyang-S31']},{'Tool': ['Zengyang-S31']},{'Examples': ['Zengyang-S31']},{'Source Code': ['Zengyang-S31']},{'It automates a task': ['Zengyang-S31']},[],1,{'Open Source': ['Zengyang-S31']}
MASSEY ARCHITECTURE EXPLORER,http://xplrarc.massey.ac.nz/,['184'],{'Proof-of-concept': ['184']},{'Tool': ['184']},{'Academic Studies': ['184']},{'Source Code': ['184']},{'It automates a task': ['184']},[],1,{'Free': ['184']}
METRICSRELOADED INTELLIJ PLUGIN,https://plugins.jetbrains.com/plugin/93-metricsreloaded,['253'],{'Proof-of-concept': ['253']},{'Plugin': ['253']},{'Academic Studies': ['253']},{'Source Code': ['253']},{'It automates a task': ['253']},[],1,{'Free': ['253']}
MUSE,Not Accessible,['132'],{'Proof-of-concept': ['132']},{'Tool': ['132']},{'Examples': ['132']},{'Source Code': ['132']},{'It automates a process': ['132']},['132'],1,{'Free': ['132']}
MYTHOS,Not Accessible,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
MYTHRIL,https://github.com/ConsenSys/mythril,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
NDEPEND,https://www.ndepend.com/.,"['334', '348', '402', '327', '332']","{None: ['334', '348'], 'Proof-of-concept': ['402', '327'], 'Demonstration in real environment': ['332']}","{None: ['334', '348'], 'Tool': ['402', '327', '332']}","{None: ['334', '348'], 'Academic Studies': ['402', '327'], 'Industrial Studies': ['332']}","{None: ['334', '348'], 'Source Code': ['402', '327', '332']}","{None: ['334', '348'], 'It automates a process': ['402', '327'], 'It automates a task': ['332']}",['332'],5,"{None: ['334', '348'], 'Free': ['402', '327', '332']}"
NEO4J,https://neo4j.com/,['271'],{'Runnig Examples': ['271']},"{'Approach (e.g., integration of different tools)': ['271']}",{'Examples': ['271']},{'Source Code': ['271']},"{'It automates a task (e.g., static code analysis)': ['271']}",[],1,{'Free': ['271']}
NGWEIGHT,https://github.com/iwnsew/ngweight,"['217', '240', '319']","{'Runnig Examples': ['217', '240'], 'Proof-of-concept': ['319']}","{'Approach (e.g., integration of different tools)': ['217', '240', '319']}","{'Examples': ['217', '240'], 'Academic Studies': ['319']}","{'Code Comments': ['217', '240', '319']}","{'It automates a task (e.g., static code analysis)': ['217', '240'], 'It automates a task': ['319']}","['217', '240', '319']",3,"{'Open Source': ['217', '240', '319']}"
NLON,https://github.com/M3SOulu/NLoN,['315'],{'Proof-of-concept': ['315']},{'Library': ['315']},{'Examples': ['315']},{'Code Comments': ['315']},"{'It automates a task (e.g., static code analysis)': ['315']}",['315'],1,{'Open Source': ['315']}
NOT CITED,https://doi.org/10.6084/m9.figshare.12890864.,['420'],{'Proof-of-concept': ['420']},{'Script': ['420']},{'Academic Studies': ['420']},{'Code Review History': ['420']},{'It automates a task': ['420']},['420'],1,{'Open Source': ['420']}
NOT SPECIFEID,http://www.cs.rug.nl/search/Resources/Resources,['183'],{'Runnig Examples': ['183']},{'Plugin': ['183']},{'Examples': ['183']},{'Source Code\r\nRequirement Specification': ['183']},{'It automates a task': ['183']},['183'],1,{'Open Source': ['183']}
OPEN SZZ,https://github.com/clowee/OpenSZZ,['427'],{'Proof-of-concept': ['427']},{'Tool': ['427']},{'Academic Studies': ['427']},{'Source Code': ['427']},{'It automates a task': ['427']},[],1,{'Open Source': ['427']}
PCLINT,https://pclintplus.com/,"['67', '38']","{'Runnig Examples': ['67'], 'Demonstration in real environment': ['38']}","{'Tool': ['67', '38']}","{'Examples': ['67'], 'Industrial Studies': ['38']}","{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67'], 'Source Code': ['38']}","{'It automates a task': ['67', '38']}",[],2,"{'Free': ['67', '38']}"
PERFMON,https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/perfmon,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
PHPMD,https://phpmd.org/,['274'],{'Proof-of-concept': ['274']},{'Tool': ['274']},{'Academic Studies': ['274']},{'Source Code': ['274']},{'It automates a task': ['274']},[],1,{'Open Source': ['274']}
PIRANHA,https://github.com/uber/piranha,['294'],{'Demonstration in relevant environment': ['294']},{'Tool': ['294']},{'Industrial Applications': ['294']},{'Flag name\r\nAPIs related to flags': ['294']},{'It automates a task': ['294']},['294'],1,{'Open Source': ['294']}
PLUGIN FOR SONARQUBE,https://github.com/davidetaibi/sonarqube-anti-patterns-code-smells,['229'],{'Proof-of-concept': ['229']},{'Plugin': ['229']},{'Academic Studies': ['229']},{'Source Code': ['229']},{'It automates a task': ['229']},['229'],1,{'Open Source': ['229']}
PMD,"https://pmd.github.io/
http://pmd.sourceforge.net ","['133', '202', '268', '429', '351', '190', '266', '311', '290', '329', '436', '56', '4', 'Zengyang-S83']","{'Runnig Examples': ['133', '436'], 'Proof-of-concept': ['202', '429', '351', '190', '266', '311', '290', '329', '56'], None: ['268'], 'Successfully proof in a real environment': ['4'], 'Demonstration in real environment': ['Zengyang-S83']}","{'Tool': ['133', '202', '268', '429', '351', '190', '266', '311', '290', '329', '56', '4', 'Zengyang-S83'], 'Script': ['436']}","{'Examples': ['133', '202', '268'], 'Academic Studies': ['429', '351', '190', '266', '311', '290', '329', '436', '56'], 'Industrial Applications': ['4'], 'Industrial Studies': ['Zengyang-S83']}","{'Source Code': ['133', '202', '429', '351', '190', '266', '311', '436', '56', '4', 'Zengyang-S83'], None: ['268'], 'Source Code\r\nCode Reviews': ['290'], 'Souce Code\r\nMDD Models': ['329']}","{'It automates a task': ['133', '202', '268', '351', '311', '290', '329', '436', '56', '4'], 'It automates a process': ['429', '190', '266', 'Zengyang-S83']}",['436'],14,"{'Open Source': ['133', '202', '190', '290', '329', '436', '56'], 'Free': ['268', '429', '351', '266', '311', '4', 'Zengyang-S83']}"
PMD’S COPY/PASTE DETECTOR,https://pmd.github.io/latest/pmd_userdocs_cpd.html,['387'],{'Proof-of-concept': ['387']},"{'Approach (e.g., integration of different tools)': ['387']}",{'Academic Studies': ['387']},{'Source Code\r\nGit Metadata\r\nCode Comments': ['387']},{'It automates a process': ['387']},['387'],1,{'Free': ['387']}
PORTER STEMMER,https://tartarus.org/martin/PorterStemmer/,['182'],{'Runnig Examples': ['182']},"{'Approach (e.g., integration of different tools)': ['182']}",{'Examples': ['182']},{'Code Comments': ['182']},"{'It automates a task (e.g., static code analysis)': ['182']}",[],1,{'Open Source': ['182']}
PRIORIZATION APPROACH,https://github.com/brunoslima/SATDPriorityParse,['432'],{'Proof-of-concept': ['432']},"{'Approach (e.g., integration of different tools)': ['432']}",{'Academic Studies': ['432']},{'Source Code\r\nCode Comments': ['432']},{'It automates a process': ['432']},['432'],1,{'Open Source': ['432']}
PROBOT (FRAMEWORK TO DEVELOP APPS FOR AUTOMATE GITHUB WORKFLOW),https://github.com/probot/probot,['413'],{'Proof-of-concept': ['413']},{'Bot': ['413']},{'Academic Studies': ['413']},{'Source Code\r\nCode Comments': ['413']},{'It automates a process': ['413']},[],1,{'Open Source': ['413']}
PRODEBT,http://www.prodebt.de/,"['105', '146']","{'Proof-of-concept': ['105'], None: ['146']}","{'Tool': ['105'], None: ['146']}","{'Expert Opinion': ['105'], None: ['146']}","{'Unknown': ['105'], None: ['146']}","{'It automates a process': ['105'], None: ['146']}",['105'],2,"{'Free': ['105'], None: ['146']}"
PROPOSED BY THE AUTHOR,https://github.com/tkdsheep/TechnicalDebt,['160'],{'Runnig Examples': ['160']},{'Script': ['160']},{'Academic Studies': ['160']},{'Code Comments': ['160']},{'It automates a task': ['160']},['160'],1,{'Open Source': ['160']}
PTIDEJ,https://www.ptidej.net/,"['248', '427']","{'Proof-of-concept': ['248', '427']}","{'Tool': ['248', '427']}","{'Academic Studies': ['248', '427']}","{'Source Code': ['248', '427']}","{'It automates a task': ['248', '427']}",[],2,"{'Open Source': ['248', '427']}"
PUPPET-LINT,https://github.com/tushartushar/Puppeteer,['102'],{'Proof-of-concept': ['102']},{'Tool': ['102']},{'Academic Studies': ['102']},{'Configuration Files': ['102']},{'It automates a task': ['102']},['102'],1,{'Open Source': ['102']}
PUPPETEER,https://github.com/tushartushar/Puppeteer,['102'],{'Proof-of-concept': ['102']},{'Tool': ['102']},{'Academic Studies': ['102']},{'Configuration Files': ['102']},{'It automates a task': ['102']},['102'],1,{'Open Source': ['102']}
PYDRILLER,https://pydriller.readthedocs.io/en/latest/,['387'],{'Proof-of-concept': ['387']},"{'Approach (e.g., integration of different tools)': ['387']}",{'Academic Studies': ['387']},{'Source Code\r\nGit Metadata\r\nCode Comments': ['387']},{'It automates a process': ['387']},['387'],1,{'Free': ['387']}
PYLINT,https://www.pylint.org/,['204'],{'Runnig Examples': ['204']},{'Tool': ['204']},{'Examples': ['204']},{'Source Code': ['204']},"{'It automates a task (e.g., static code analysis)': ['204']}",[],1,{'Free': ['204']}
QSCORED,https://qscored.com/,['354'],{'Proof-of-concept': ['354']},"{'Approach (e.g., integration of different tools)': ['354']}",{'Academic Studies': ['354']},{'Source Code': ['354']},{'It automates a process': ['354']},['354'],1,{'Free': ['354']}
RADON,https://radon.readthedocs.io/en/latest/index.html,['295'],{'Runnig Examples': ['295']},{'Tool': ['295']},{'Examples': ['295']},{'Source Code': ['295']},"{'It automates a task (e.g., static code analysis)': ['295']}",[],1,{'Open Source': ['295']}
REFACTORING-BOT,https://github.com/Refactoring-Bot,['228'],{'Runnig Examples': ['228']},{'Bot': ['228']},{'Examples': ['228']},{'Source Code': ['228']},{'It automates a process': ['228']},['228'],1,{'Open Source': ['228']}
REFACTORINGMINER,https://github.com/tsantalis/RefactoringMiner,['314'],{'Proof-of-concept': ['314']},{'Tool': ['314']},{'Academic Studies': ['314']},{'Source Code': ['314']},{'It automates a process': ['314']},"['409', '297']",1,{'Open Source': ['314']}
REPOSITORY EVALUATION TOOLCHAIN,https://github.com/gssi/metamodel-dataset-analysis-toolchain,['339'],{'Runnig Examples': ['339']},{'Tool': ['339']},{'Examples': ['339']},{'Metamodels': ['339']},{'It automates a task': ['339']},['339'],1,{'Open Source': ['339']}
RESHARPER,https://www.jetbrains.com/help/resharper/ReSharper_Command_Line_Tools.html,['Zengyang-S87'],{'Proof-of-concept': ['Zengyang-S87']},{'Tool': ['Zengyang-S87']},{'Academic Studies': ['Zengyang-S87']},{'Source Code': ['Zengyang-S87']},{'It automates a task': ['Zengyang-S87']},[],1,{'Free': ['Zengyang-S87']}
RESOURCE STANDARD METRICS,www.msquaredtechnologies.com.,['Zengyang-S37'],{'Proof-of-concept': ['Zengyang-S37']},{'Tool': ['Zengyang-S37']},{'Academic Studies': ['Zengyang-S37']},{'Source Code': ['Zengyang-S37']},{'It automates a task': ['Zengyang-S37']},[],1,{'Free': ['Zengyang-S37']}
RMINER,https://github.com/tsantalis/RefactoringMiner,"['409', '248', '297', '387', '269', '427', '375']","{'Proof-of-concept': ['409', '248', '297', '387', '269', '427', '375']}","{'Library': ['409'], 'Tool': ['248', '269', '427', '375'], 'Approach (e.g., integration of different tools)': ['297', '387']}","{'Academic Studies': ['409', '248', '297', '387', '269', '427', '375']}","{'Source Code': ['409', '248', '297', '427'], 'Source Code\r\nGit Metadata\r\nCode Comments': ['387'], 'Source code': ['269'], 'Docker-Files': ['375']}","{'It automates a task': ['409', '248', '427', '375'], 'It automates a process': ['297', '387', '269']}","['409', '297', '387']",7,"{'Open Source': ['409', '248', '297', '427', '375'], 'Free': ['387', '269']}"
SARIF,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=SARIF,['204'],{'Runnig Examples': ['204']},{'Tool': ['204']},{'Examples': ['204']},{'Source Code': ['204']},"{'It automates a task (e.g., static code analysis)': ['204']}",[],1,{'Free': ['204']}
SATD DETECTOR,"https://github.com/Tbabm/SATDDetector-Core
https://drive.google.com/drive/folders/1k2o4BsNt9O2v7c4P7ktlDbBmFiYEY--K","['163', '432']","{'Proof-of-concept': ['163', '432']}","{'Tool': ['163'], 'Approach (e.g., integration of different tools)': ['432']}","{'Examples': ['163'], 'Academic Studies': ['432']}","{'Code Comments': ['163'], 'Source Code\r\nCode Comments': ['432']}","{'It automates a task (e.g., static code analysis)': ['163'], 'It automates a process': ['432']}","['163', '432']",2,"{'Open Source': ['163', '432']}"
SATDBAILIFF,https://github.com/smilevo/SATDBailiff,['448'],{'Proof-of-concept': ['448']},{'Tool': ['448']},{'Examples': ['448']},{'Code Comments': ['448']},{'It automates a task': ['448']},['448'],1,{'Open Source': ['448']}
SCC,https://github.com/boyter/scc,['297'],{'Proof-of-concept': ['297']},"{'Approach (e.g., integration of different tools)': ['297']}",{'Academic Studies': ['297']},{'Source Code': ['297']},{'It automates a process': ['297']},['297'],1,{'Open Source': ['297']}
SCIKIT-LEARN,https://scikit-learn.org/stable/,"['300', '212', '383', '387', '392']","{'Runnig Examples': ['300'], 'Proof-of-concept': ['212', '383', '387', '392']}","{'Tool': ['300'], 'Approach (e.g., integration of different tools)': ['212', '383', '387', '392']}","{'Examples': ['300'], 'Academic Studies': ['212', '383', '387', '392']}","{'Code Comments': ['300', '212'], 'An existing dataset with TD Values.': ['383'], 'Source Code\r\nGit Metadata\r\nCode Comments': ['387'], 'Source Code\r\nGithub Metadata': ['392']}","{'It automates a task (e.g., static code analysis)': ['300'], 'It automates a task': ['212', '383'], 'It automates a process': ['387', '392']}",['387'],5,"{'Free': ['300', '212', '387'], 'Open Source': ['383', '392']}"
SDK4ED,https://sdk4ed.eu/,"['447', '426']","{'Proof-of-concept': ['447', '426']}","{'Approach (e.g., integration of different tools)': ['447', '426']}","{'Academic Studies': ['447', '426']}","{'Source Code': ['447', '426']}","{'It automates a process': ['447', '426']}",['447'],2,"{'Free': ['447', '426']}"
SEARCH-BASED SELF-ADAPTIVE SOFTWARE ENGINE (SSASE),https://github.com/taochen/ssase,['152'],{'Proof-of-concept': ['152']},{'Framework': ['152']},{'Academic Studies': ['152']},"{'Computational Data (e.g., CPU Usage, Memory Usage)': ['152']}",{'It automates a task': ['152']},['152'],1,{'Open Source': ['152']}
SECURIFY,https://github.com/eth-sri/securify2,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
SEN4SMELLS,https://github.com/tommantonela/Sen4Smells,['263'],{'Proof-of-concept': ['263']},{'Tool': ['263']},{'Examples': ['263']},{'Source Code': ['263']},"{'It automates a process (e.g., calculate the TD interest)': ['263']}",[],1,{'Open Source': ['263']}
SFUZZ,https://contract.guardstrike.com/#/scan,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
SHELL CHECKER,https://github.com/koalaman/shellcheck,['375'],{'Proof-of-concept': ['375']},{'Tool': ['375']},{'Academic Studies': ['375']},{'Docker-Files': ['375']},{'It automates a task': ['375']},[],1,{'Open Source': ['375']}
SIGRID,https://www.softwareimprovementgroup.com/solutions/sigrid-software-assurance-platform/,['332'],{'Demonstration in real environment': ['332']},{'Tool': ['332']},{'Industrial Studies': ['332']},{'Source Code': ['332']},{'It automates a task': ['332']},['332'],1,{'Free': ['332']}
SIKULI,http://sikulix.com//,['264'],{'Runnig Examples': ['264']},{'Tool': ['264']},{'Examples': ['264']},{'Source Code\r\nGUI': ['264']},{'It automates a task': ['264']},[],1,{'Free': ['264']}
SIMIAN,www.harukizaemon.com/simian/,['67'],{'Runnig Examples': ['67']},{'Tool': ['67']},{'Examples': ['67']},"{'Source Code\r\nExecutition Data (E.g., memory usage)': ['67']}",{'It automates a task': ['67']},[],1,{'Free': ['67']}
SKULD,https://www.skuld.ai/,['309'],{'Proof-of-concept': ['309']},{'Tool': ['309']},{'Examples': ['309']},{'Source Code': ['309']},"{'It automates a process (e.g., calculate the TD interest)': ['309']}",['309'],1,{'Free': ['309']}
SLITHER,https://github.com/crytic/slither,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
SMARTCHECK,https://github.com/smartdec/smartcheck,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
SOFTWARE ARCHINAUT,http://software-archinaut.com/,['297'],{'Proof-of-concept': ['297']},"{'Approach (e.g., integration of different tools)': ['297']}",{'Academic Studies': ['297']},{'Source Code': ['297']},{'It automates a process': ['297']},['297'],1,{'Open Source': ['297']}
SOLHINT,https://github.com/protofire/solhint,['368'],{'Proof-of-concept': ['368']},{'Tool': ['368']},{'Academic Studies': ['368']},{'Source Code': ['368']},{'It automates a task': ['368']},[],1,{'Open Source': ['368']}
SONAR,http://sonar,['Zengyang-S58'],{'Proof-of-concept': ['Zengyang-S58']},{'Tool': ['Zengyang-S58']},{'Academic Studies': ['Zengyang-S58']},{'Source Code': ['Zengyang-S58']},{'It automates a task': ['Zengyang-S58']},[],1,{'Free': ['Zengyang-S58']}
SONAR TD PLUGIN,http://msdn.microsoft.com/en-us/library/bb429476.aspx,['Zengyang-S83'],{'Demonstration in real environment': ['Zengyang-S83']},{'Tool': ['Zengyang-S83']},{'Industrial Studies': ['Zengyang-S83']},{'Source Code': ['Zengyang-S83']},{'It automates a process': ['Zengyang-S83']},[],1,{'Free': ['Zengyang-S83']}
SONAR-ISSUES-MINER,https://github.com/dvmarcilio/sonar-issues-miner,['196'],{'Proof-of-concept': ['196']},{'Tool': ['196']},{'Examples': ['196']},{'Source Code': ['196']},{'It automates a task': ['196']},['196'],1,{'Open Source': ['196']}
SONARCLOUD,https://sonarcloud.io/,['355'],{'Proof-of-concept': ['355']},{'Tool': ['355']},{'Academic Studies': ['355']},{'Source Code': ['355']},{'It automates a task': ['355']},[],1,{'Commercial/Private': ['355']}
SONARGRAPH,https://www.hello2morrow.com/products/sonargraph,"['88', '249', '82', '184', '348', '349']","{'Proof-of-concept': ['88', '249', '82', '184', '349'], None: ['348']}","{'Tool': ['88', '249', '82', '184', '349'], None: ['348']}","{'Expert Opinion': ['88', '82'], 'Examples': ['249'], 'Academic Studies': ['184', '349'], None: ['348']}","{'Source Code': ['88', '249', '82', '184', '349'], None: ['348']}","{'It automates a task (e.g., static code analysis)': ['88', '249'], 'It automates a task': ['82', '184', '349'], None: ['348']}",[],6,"{'SonarQube is open source, other commercial.': ['88'], 'Free': ['249', '82', '184'], None: ['348'], 'Various': ['349']}"
SONARGRAPH-QUALITY,https://www.hello2morrow.com/products/sonargraph,['76'],{'Proof-of-concept': ['76']},{'Tool': ['76']},{'Expert Opinion': ['76']},{'Source Code': ['76']},"{'It automates a task (e.g., static code analysis)': ['76']}",[],1,"{'SonarQube  (Open Source), Other (Commercial)': ['76']}"
SONARLINT,https://www.sonarsource.com/products/sonarlint/,['281'],{'Proof-of-concept': ['281']},{'Plugin': ['281']},{'Academic Studies': ['281']},{'Source Code': ['281']},{'It automates a task': ['281']},[],1,{'Free': ['281']}
